#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Baylisascaris procyonis,6259,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Cotoneaster silvestrii,1248458,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Leptolalax oshanensis,265047,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Metapenaeus ensis,32278,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Nematalosa erebi,316163,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Palaemon gravieri,1428691,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Steinernema glaseri,37863,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Protobothrops maolanensis,1147742,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
[Candida] montana,49329,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Sakuraeolis japonica,1939669,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Aspergillus ochraceoroseus IBT 24754,1392256,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Gekko japonicus,146911,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Ananas comosus var. bracteatus,296719,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Aspergillus cristatus,573508,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Monosporascus sp. CRB-8-3,2211644,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Pochonia chlamydosporia 170,1380566,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Taenia multiceps,94034,Opisthokonta_Metazoa,Platyhelminthes,Cestoda,Aerobic_mitochondria,None
Blepephaeus succinctor,583413,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Phaeodactylum tricornutum CCAP 1055/1,556484,SAR_Stramenopiles,Bacillariophyta,Bacillariophyceae,Aerobic_mitochondria,Secondary_red_plastid
Bryopsis sp. HV04063,1979421,Archaeplastida_Viridiplantae,Chlorophyta,Ulvophyceae,Aerobic_mitochondria,Primary_green_plastid 
Conyza bonariensis,91242,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Culex pipiens pipiens,38569,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Haematopus ater,185689,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Wallemia mellicola CBS 633.66,671144,Opisthokonta_Fungi,Basidiomycota,Wallemiomycetes,Aerobic_mitochondria,None 
Atympanophrys shapingensis,265032,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Epimedium acuminatum,253612,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Menidia menidia,238744,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Owenia fusiformis,6347,Opisthokonta_Metazoa,Annelida,Polychaeta,Aerobic_mitochondria,None
Pedicularis cheilanthifolia,216510,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Undescribed,Primary_green_plastid 
Ruspolia lineosa,948357,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Saccharomyces cerevisiae SK1,580239,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Hydrodamalis gigas,63631,Opisthokonta_Metazoa,Chordata,Mammalia,Undescribed,None
Alepes kleinii,436002,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Isoetes graniticola,2479787,Archaeplastida_Viridiplantae,Streptophyta,Lycopodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Stiphodon alcedo,983304,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Margaritifera dahurica,288136,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Polystoechotes punctata,2028677,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Danio albolineatus,27699,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Gouania willdenowi,441366,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Galba pervia,1051332,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Saccharomyces cerevisiae M5,1337645,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Lepidophyma flavimaculatum,264485,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Damaliscus lunatus,9929,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Piofontia romeroi,587519,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Jinshaia sinensis,241446,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pinus sylvestris,3349,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Artemisia gmelinii,401898,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Bruinsmia polysperma,1842555,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Opsopoeodus emiliae,36794,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Cuscuta exaltata,476139,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Saccharomyces cerevisiae M3839,1162674,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Acropora florida,70782,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Coccidioides posadasii CPA 0001,469472,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Culicoides arakawae,198116,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
